`# time, f
2.141070535267633659e+03,-1.968002177956409693e-01
2.161080540270135316e+03,-1.970074585150602964e-01
2.181090545272636064e+03,-1.972881957445130896e-01
2.201100550275137721e+03,-1.979288022024304206e-01
2.221110555277638923e+03,-1.985589108346728915e-01
2.241120560280140126e+03,-1.988524655494117721e-01
2.261130565282641328e+03,-1.991623047694056348e-01
2.281140570285142530e+03,-1.998847860647783026e-01
2.301150575287643733e+03,-2.004801367329233086e-01
2.321160580290144935e+03,-2.008659418531192342e-01
2.341170585292646138e+03,-2.015953647608889621e-01
2.361180590295147795e+03,-2.017972215702942829e-01
2.381190595297648542e+03,-2.018741988083329053e-01
2.401200600300150199e+03,-2.019118688401723982e-01
2.421210605302651402e+03,-2.019351747428583810e-01
2.441220610305152604e+03,-2.019530247163498771e-01
2.461230615307653807e+03,-2.019687799975309617e-01
2.481240620310155009e+03,-2.019837513725800948e-01
2.501250625312656211e+03,-2.019984735581714097e-01
2.521260630315157414e+03,-2.020131897191334569e-01
2.541270635317659071e+03,-2.020280399970214302e-01
2.561280640320160273e+03,-2.020431344323510847e-01
2.581290645322661021e+03,-2.020585792157839067e-01
2.601300650325162678e+03,-2.020744836070825501e-01
2.621310655327663881e+03,-2.020909588747141217e-01
2.641320660330165083e+03,-2.021081141795069425e-01
2.661330665332666285e+03,-2.021260506987528072e-01
2.681340670335167943e+03,-2.021448523630230421e-01
2.701350675337668690e+03,-2.021645721132196705e-01
2.721360680340169893e+03,-2.021852206050774869e-01
2.741370685342671550e+03,-2.022067717513504059e-01
2.761380690345172752e+03,-2.022291889311017832e-01
2.781390695347673500e+03,-2.022524593107203617e-01
2.801400700350175157e+03,-2.022766276426086751e-01
2.821410705352676359e+03,-2.023018270794808005e-01
2.841420710355177562e+03,-2.023282984919079208e-01
2.861430715357678764e+03,-2.023563860382874835e-01
2.881440720360179967e+03,-2.023864947721079055e-01
2.901450725362681624e+03,-2.024190084219245900e-01
2.921460730365182371e+03,-2.024542254385787166e-01
2.941470735367684028e+03,-2.024923909546665068e-01
2.961480740370185231e+03,-2.025337853390481446e-01
2.981490745372685979e+03,-2.025788236374920503e-01
3.001500750375187636e+03,-2.026281926888418572e-01
3.021510755377688838e+03,-2.026829024007048563e-01
3.041520760380189586e+03,-2.027441854776071417e-01
3.061530765382691243e+03,-2.028137354619279631e-01
3.081540770385192445e+03,-2.028943438973375701e-01
3.101550775387694102e+03,-2.029909511851100412e-01
3.121560780390194850e+03,-2.031132315087082751e-01
3.141570785392696507e+03,-2.032880042786435748e-01
3.161580790395197710e+03,-2.036860211547144583e-01
3.181590795397698457e+03,-2.043498702030439873e-01
3.201600800400200114e+03,-2.044846471295524992e-01
3.221610805402701317e+03,-2.045304718464130145e-01
3.241620810405202974e+03,-2.045509218251284345e-01
3.261630815407703722e+03,-2.045626312780775280e-01
3.281640820410204924e+03,-2.045711163966939805e-01
3.301650825412706581e+03,-2.045783308632473096e-01
3.321660830415207329e+03,-2.045849926924670492e-01
3.341670835417708986e+03,-2.045913800689417583e-01
3.361680840420210188e+03,-2.045976106365637315e-01
3.381690845422710936e+03,-2.046037411322913502e-01
